video_id,video_url,entry_title,live_status,duration_seconds,view_count,saved_json_path,fetched_at
MaAFwdMXCMI,https://www.youtube.com/watch?v=MaAFwdMXCMI,[122/365] ADDING NEW RETAILERS TO MY NEW MALL!,was_live,8764.0,324,data\raw\youtube\kenny-finance-streams\videos\MaAFwdMXCMI.json,2026-05-06T02:38:06.455001+00:00
K56iDpSqDfo,https://www.youtube.com/watch?v=K56iDpSqDfo,[121/365] I BOUGHT A MALL!!!,was_live,7653.0,322,data\raw\youtube\kenny-finance-streams\videos\K56iDpSqDfo.json,2026-05-06T02:38:06.455001+00:00
2arUCdauzg0,https://www.youtube.com/watch?v=2arUCdauzg0,[120/365] UNPACKING SNDK'S BLOWOUT EARNINGS,was_live,6070.0,217,data\raw\youtube\kenny-finance-streams\videos\2arUCdauzg0.json,2026-05-06T02:38:06.455001+00:00
xiZfB1p08z8,https://www.youtube.com/watch?v=xiZfB1p08z8,"LIVE: MAG 7 EARNINGS (GOOG, MSFT, META, AMZN) [119/365]",was_live,4730.0,200,data\raw\youtube\kenny-finance-streams\videos\xiZfB1p08z8.json,2026-05-06T02:38:06.455001+00:00
9PNVIPMhmI0,https://www.youtube.com/watch?v=9PNVIPMhmI0,[118/365] PREPARING FOR TOMORROW'S EARNINGS SUPERBOWL,was_live,6094.0,153,data\raw\youtube\kenny-finance-streams\videos\9PNVIPMhmI0.json,2026-05-06T02:38:06.455001+00:00
wdRBxIGZhSo,https://www.youtube.com/watch?v=wdRBxIGZhSo,[117/365] IS THE AI BUBBLE ABOUT TO POP THIS WEEK?,was_live,6250.0,250,data\raw\youtube\kenny-finance-streams\videos\wdRBxIGZhSo.json,2026-05-06T02:38:06.455001+00:00
3NRC1X_N8FI,https://www.youtube.com/watch?v=3NRC1X_N8FI,[116/365] MAKING A PERSONAL ASSISTANT ON CLAUDE,was_live,6627.0,305,data\raw\youtube\kenny-finance-streams\videos\3NRC1X_N8FI.json,2026-05-06T02:38:06.455001+00:00
1iRq1DO-XKk,https://www.youtube.com/watch?v=1iRq1DO-XKk,[115/365] MAKING A PERSONAL ASSISTANT ON CLAUDE,was_live,5960.0,737,data\raw\youtube\kenny-finance-streams\videos\1iRq1DO-XKk.json,2026-05-06T02:38:06.455001+00:00
8ivVQ6TGgwk,https://www.youtube.com/watch?v=8ivVQ6TGgwk,[114/365] HELPING NFL DRAFT PICKS BUDGET THEIR MONEY,was_live,7717.0,150,data\raw\youtube\kenny-finance-streams\videos\8ivVQ6TGgwk.json,2026-05-06T02:38:06.455001+00:00
cg0iLpCc34s,https://www.youtube.com/watch?v=cg0iLpCc34s,[113/365] INTEL JUST SHOCKED THE AI NON-BELEIVERS,was_live,6200.0,285,data\raw\youtube\kenny-finance-streams\videos\cg0iLpCc34s.json,2026-05-06T02:38:06.455001+00:00
